ZOCUR	 % Penetración 	7.7%
ZOCUR	 Q's 	 16 
ZOCUR	 Contracts 	 4 
ZOCUR	 Average Price 	 11,050 
ZOCUR	 Closing Rate 	25.0%
ZOCUR	 VPG 	 2,763 
ZOCUR	 Volume 	 44,200 
SMBSL	 Arrivals 	 1,008 
SMBSL	 % Penetración 	6.6%
SMBSL	 Q's 	 67 
SMBSL	 Contracts 	 17 
SMBSL	 Average Price 	 24,685 
SMBSL	 Closing Rate 	25.4%
SMBSL	 VPG 	 6,263 
SMBSL	 Volume 	 419,648 
ZOMSL	 Arrivals 	 300 
ZOMSL	 % Penetración 	4.3%
ZOMSL	 Q's 	 13 
ZOMSL	 Contracts 	 3 
ZOMSL	 Average Price 	 20,113 
ZOMSL	 Closing Rate 	23.1%
ZOMSL	 VPG 	 4,642 
ZOMSL	 Volume 	 60,340 
SEAUA	 Arrivals 	 1,027 
SEAUA	 % Penetración 	14.1%
SEAUA	 Q's 	 145 
SEAUA	 Contracts 	 35 
SEAUA	 Average Price 	 19,825 
SEAUA	 Closing Rate 	24.1%
SEAUA	 VPG 	 4,785 
SEAUA	 Volume 	 693,865 
